Maps,Social,Health & Fitness,Food & Drinks,Communication,Game & Entertainment,Others,uf,context,y1,y2
1,0,0,0,0,0,0,6.23,0,0,0
1,0,0,0,0,0,0,5.23,1,0,0
1,0,0,0,0,0,0,6.23,0,0,0
1,0,0,0,0,0,0,4.56,1,0,0
1,0,0,0,0,0,0,5.33,0,0,0
1,0,0,0,0,0,0,6.46,1,0,0
1,0,0,0,0,0,0,3.43,0,0,0
1,0,0,0,0,0,0,4.89,1,0,0
1,0,0,0,0,0,0,6.23,0,0,0
1,0,0,0,0,0,0,6.23,0,0,0
1,0,0,0,0,0,0,5.23,1,0,0
1,0,0,0,0,0,0,26.6,1,0,0
1,0,0,0,0,0,0,40.43,0,100,200
1,0,0,0,0,0,0,39.34,0,100,200
1,0,0,0,0,0,0,65.34,0,100,200
1,0,0,0,0,0,0,65.34,0,100,200
1,0,0,0,0,0,0,0.23,0,0,0
1,0,0,0,0,0,0,4.32,0,0,0
1,0,0,0,0,0,0,2.33,0,0,0
1,0,0,0,0,0,0,1.5,0,0,0
1,0,0,0,0,0,0,45.54,1,0,0
1,0,0,0,0,0,0,23.43,1,0,0
1,0,0,0,0,0,0,87.34,1,0,0
1,0,0,0,0,0,0,77.7,1,0,0
1,0,0,0,0,0,0,12.5,0,100,200
1,0,0,0,0,0,0,24.5,0,100,200
1,0,0,0,0,0,0,16.5,0,100,200
1,0,0,0,0,0,0,21.23,0,100,200
1,0,0,0,0,0,0,8.5,0,100,200
1,0,0,0,0,0,0,11.2,0,100,200
1,0,0,0,0,0,0,18.5,0,100,200
1,0,0,0,0,0,0,21.2,0,100,200
0,1,0,0,0,0,0,2.1,0,0,0
0,1,0,0,0,0,0,1.3,0,0,0
0,1,0,0,0,0,0,1.13,0,0,0
0,1,0,0,0,0,0,2.2,0,0,0
0,1,0,0,0,0,0,2.1,1,0,0
0,1,0,0,0,0,0,1.3,1,0,0
0,1,0,0,0,0,0,1.13,1,0,0
0,1,0,0,0,0,0,2.2,1,0,0
0,1,0,0,0,0,0,22.2,1,0,0
0,1,0,0,0,0,0,24.2,1,0,0
0,1,0,0,0,0,0,14.2,1,0,0
0,1,0,0,0,0,0,2.2,1,0,0
0,1,0,0,0,0,0,12.2,0,200,500
0,1,0,0,0,0,0,13.2,0,200,500
0,1,0,0,0,0,0,11.34,0,200,500
0,1,0,0,0,0,0,10.34,0,200,500
0,1,0,0,0,0,0,34.2,0,200,500
0,1,0,0,0,0,0,23.22,0,200,500
0,1,0,0,0,0,0,24.4,0,200,500
0,1,0,0,0,0,0,64.2,1,200,500
0,1,0,0,0,0,0,66,1,200,500
0,1,0,0,0,0,0,77.5,1,200,500
0,1,0,0,0,0,0,81.4,1,200,500
0,1,0,0,0,0,0,64.2,0,500,1000
0,1,0,0,0,0,0,66,0,500,1000
0,1,0,0,0,0,0,77.5,0,500,1000
0,1,0,0,0,0,0,81.4,0,500,1000
0,0,1,0,0,0,0,32.2,1,0,0
0,0,1,0,0,0,0,4.3,0,0,0
0,0,1,0,0,0,0,6.4,0,0,0
0,0,1,0,0,0,0,1.4,0,0,0
0,0,1,0,0,0,0,3.4,0,0,0
0,0,1,0,0,0,0,4.3,1,0,0
0,0,1,0,0,0,0,6.4,1,0,0
0,0,1,0,0,0,0,1.4,1,0,0
0,0,1,0,0,0,0,3.4,1,0,0
0,0,1,0,0,0,0,35.2,0,300,600
0,0,1,0,0,0,0,15.2,0,300,600
0,0,1,0,0,0,0,22.2,0,300,600
0,0,1,0,0,0,0,56.4,0,500,1000
0,0,1,0,0,0,0,66.4,0,500,1000
0,0,1,0,0,0,0,77.78,0,500,1000
0,0,1,0,0,0,0,34.2,1,0,0
0,0,1,0,0,0,0,15.2,1,0,0
0,0,1,0,0,0,0,23.32,1,0,0
0,0,1,0,0,0,0,53.53,1,0,0
0,0,1,0,0,0,0,45.34,1,0,0
0,0,1,0,0,0,0,34.43,1,0,0
0,0,0,1,0,0,0,5.2,1,0,0
0,0,0,1,0,0,0,3.5,0,0,0
0,0,0,1,0,0,0,6.7,0,0,0
0,0,0,1,0,0,0,2.1,0,0,0
0,0,0,1,0,0,0,2.75,0,0,0
0,0,0,1,0,0,0,0.7,1,0,0
0,0,0,1,0,0,0,0.4,1,0,0
0,0,0,1,0,0,0,1.4,1,0,0
0,0,0,1,0,0,0,2.2,1,0,0
0,0,0,1,0,0,0,12.11,0,200,500
0,0,0,1,0,0,0,13.22,0,200,500
0,0,0,1,0,0,0,30.5,0,200,700
0,0,0,1,0,0,0,56.4,0,200,700
0,0,0,1,0,0,0,66.4,0,200,700
0,0,0,1,0,0,0,77.78,0,200,700
0,0,0,1,0,0,0,7.75,1,0,0
